StartTime,EndTime,AreaID,UnitName,Load
2022-01-05T06:00+00:00Z,2022-01-05T07:00+00:00Z,10Y1001A1001A65H,MAW,5389
2022-01-05T07:00+00:00Z,2022-01-05T08:00+00:00Z,10Y1001A1001A65H,MAW,5428
2022-01-05T08:00+00:00Z,2022-01-05T09:00+00:00Z,10Y1001A1001A65H,MAW,5469
2022-01-05T09:00+00:00Z,2022-01-05T10:00+00:00Z,10Y1001A1001A65H,MAW,5472
2022-01-05T10:00+00:00Z,2022-01-05T11:00+00:00Z,10Y1001A1001A65H,MAW,5433
2022-01-05T11:00+00:00Z,2022-01-05T12:00+00:00Z,10Y1001A1001A65H,MAW,5414
2022-01-05T12:00+00:00Z,2022-01-05T13:00+00:00Z,10Y1001A1001A65H,MAW,5362
2022-01-05T13:00+00:00Z,2022-01-05T14:00+00:00Z,10Y1001A1001A65H,MAW,5284
2022-01-05T14:00+00:00Z,2022-01-05T15:00+00:00Z,10Y1001A1001A65H,MAW,5458
2022-01-05T15:00+00:00Z,2022-01-05T16:00+00:00Z,10Y1001A1001A65H,MAW,5818
2022-01-05T16:00+00:00Z,2022-01-05T17:00+00:00Z,10Y1001A1001A65H,MAW,5596
2022-01-05T17:00+00:00Z,2022-01-05T18:00+00:00Z,10Y1001A1001A65H,MAW,5287
2022-01-05T18:00+00:00Z,2022-01-05T19:00+00:00Z,10Y1001A1001A65H,MAW,5031
2022-01-05T19:00+00:00Z,2022-01-05T20:00+00:00Z,10Y1001A1001A65H,MAW,4844
2022-01-05T20:00+00:00Z,2022-01-05T21:00+00:00Z,10Y1001A1001A65H,MAW,4572
2022-01-05T21:00+00:00Z,2022-01-05T22:00+00:00Z,10Y1001A1001A65H,MAW,4315
2022-01-05T22:00+00:00Z,2022-01-05T23:00+00:00Z,10Y1001A1001A65H,MAW,4051
2022-01-05T23:00+00:00Z,2022-01-06T00:00+00:00Z,10Y1001A1001A65H,MAW,3967
2022-01-06T00:00+00:00Z,2022-01-06T01:00+00:00Z,10Y1001A1001A65H,MAW,3895
2022-01-06T01:00+00:00Z,2022-01-06T02:00+00:00Z,10Y1001A1001A65H,MAW,3864
2022-01-06T02:00+00:00Z,2022-01-06T03:00+00:00Z,10Y1001A1001A65H,MAW,3941
2022-01-06T03:00+00:00Z,2022-01-06T04:00+00:00Z,10Y1001A1001A65H,MAW,4163
2022-01-06T04:00+00:00Z,2022-01-06T05:00+00:00Z,10Y1001A1001A65H,MAW,4765
2022-01-06T05:00+00:00Z,2022-01-06T06:00+00:00Z,10Y1001A1001A65H,MAW,5371
2022-01-06T06:00+00:00Z,2022-01-06T07:00+00:00Z,10Y1001A1001A65H,MAW,5633
2022-01-06T07:00+00:00Z,2022-01-06T08:00+00:00Z,10Y1001A1001A65H,MAW,5608
2022-01-06T08:00+00:00Z,2022-01-06T09:00+00:00Z,10Y1001A1001A65H,MAW,5592
2022-01-06T09:00+00:00Z,2022-01-06T10:00+00:00Z,10Y1001A1001A65H,MAW,5447
2022-01-06T10:00+00:00Z,2022-01-06T11:00+00:00Z,10Y1001A1001A65H,MAW,5326
2022-01-06T11:00+00:00Z,2022-01-06T12:00+00:00Z,10Y1001A1001A65H,MAW,5293
2022-01-06T12:00+00:00Z,2022-01-06T13:00+00:00Z,10Y1001A1001A65H,MAW,5205
2022-01-06T13:00+00:00Z,2022-01-06T14:00+00:00Z,10Y1001A1001A65H,MAW,5163
2022-01-06T14:00+00:00Z,2022-01-06T15:00+00:00Z,10Y1001A1001A65H,MAW,5410
2022-01-06T15:00+00:00Z,2022-01-06T16:00+00:00Z,10Y1001A1001A65H,MAW,5817
2022-01-06T16:00+00:00Z,2022-01-06T17:00+00:00Z,10Y1001A1001A65H,MAW,5655
2022-01-06T17:00+00:00Z,2022-01-06T18:00+00:00Z,10Y1001A1001A65H,MAW,5309
2022-01-06T18:00+00:00Z,2022-01-06T19:00+00:00Z,10Y1001A1001A65H,MAW,5009
2022-01-06T19:00+00:00Z,2022-01-06T20:00+00:00Z,10Y1001A1001A65H,MAW,4730
2022-01-06T20:00+00:00Z,2022-01-06T21:00+00:00Z,10Y1001A1001A65H,MAW,4498
2022-01-06T21:00+00:00Z,2022-01-06T22:00+00:00Z,10Y1001A1001A65H,MAW,4232
2022-01-06T22:00+00:00Z,2022-01-06T23:00+00:00Z,10Y1001A1001A65H,MAW,3987
